Ticket_ID,Issue_Category,Priority,Resolution_Time,Engineer_Cost,Client_Type,Escalation_Count,Customer_Rating
100001,Database,High,,94,Small,1,3.6
100002,Email,Critical,0.54,44,Small,2,2.8
100003,Hardware,Medium,6.48,98,Small,0,4.6
100004,Network,Low,,66,Enterprise,2,3.7
100005,Software,Medium,10.58,70,Medium,3,3.1
100006,Software,Critical,5.12,68,Medium,2,2.9
100007,Network,Medium,6.84,36,Enterprise,2,4.8
100008,Database,Low,0.52,45,Medium,0,4.2
100009,Network,Medium,,47,Small,0,3.7
100010,Software,Critical,7.17,80,Enterprise,3,4.4
100011,Network,Low,,66,Small,0,3.2
100012,Database,Medium,1.83,86,Small,3,3.7
100013,Software,Medium,,83,Small,0,3.5
100014,Network,Critical,6.56,89,Small,0,3.1
100015,Software,Medium,,33,Medium,1,2.6
100016,Network,Low,9.62,28,Enterprise,2,3.1
100017,Network,Medium,8.71,27,Medium,3,4.7
100018,Network,High,,26,Small,0,3.7
100019,Database,Medium,0.76,53,Small,3,3.7
100020,Database,High,,71,Small,2,3.8
100021,Database,Low,,24,Small,0,4.0
100022,Software,High,6.18,78,Enterprise,0,4.9
100023,Database,High,5.93,48,Small,3,3.5
100024,Database,Low,,93,Small,0,3.6
100025,Email,Medium,3.07,40,Enterprise,1,5.0
100026,Software,High,2.3,35,Medium,3,3.4
100027,Security,Critical,1.98,99,Medium,3,2.5
100028,Email,Medium,8.8,64,Medium,3,3.2
100029,Security,Critical,1.93,93,Enterprise,0,3.6
100030,Security,Low,,65,Enterprise,2,4.2
100031,Email,High,11.05,91,Medium,0,2.9
100032,Software,Low,,67,Medium,3,2.8
100033,Network,Low,6.73,76,Medium,0,3.6
100034,Email,High,,66,Small,3,2.7
100035,Security,Low,8.55,26,Small,3,5.0
100036,Database,High,,54,Small,3,3.4
100037,Hardware,Low,,94,Enterprise,3,4.4
100038,Email,High,,47,Small,0,3.8
100039,Database,Medium,4.8,61,Small,1,4.8
100040,Software,Critical,,90,Small,3,3.5
100041,Software,High,9.98,51,Medium,1,4.7
100042,Email,Low,4.58,86,Small,3,3.2
100043,Database,Low,1.24,96,Small,3,3.3
100044,Email,Low,3.01,27,Enterprise,0,3.2
100045,Network,Low,11.64,27,Medium,3,4.2
100046,Email,Medium,11.3,87,Medium,0,2.8
100047,Email,Critical,10.65,40,Medium,1,3.0
100048,Security,Medium,,91,Enterprise,2,4.1
100049,Security,Medium,3.38,76,Enterprise,1,3.4
100050,Email,Low,4.63,45,Enterprise,1,3.2
100051,Database,Medium,,49,Small,1,3.1
100052,Email,Medium,7.26,57,Medium,0,4.5
100053,Email,High,5.71,45,Enterprise,1,4.4
100054,Network,Low,5.25,49,Small,0,4.4
100055,Email,Low,8.72,51,Small,0,3.7
100056,Software,Critical,8.42,33,Small,3,4.2
100057,Software,Low,4.76,62,Small,3,4.9
100058,Network,Medium,2.63,96,Small,3,4.2
100059,Network,Medium,,69,Enterprise,3,2.8
100060,Security,Low,,23,Small,2,3.3
100061,Database,Low,11.57,88,Enterprise,1,2.8
100062,Email,Low,3.49,68,Small,3,3.0
100063,Network,Medium,9.64,57,Small,2,3.8
