Ticket_ID,Issue_Category,Priority,Resolution_Time,Engineer_Cost,Client_Type,Escalation_Count,Customer_Rating
100001,Software,Critical,,87,Small,1,2.8
100002,Network,Medium,11.98,25,Small,2,2.7
100003,Software,Low,8.09,38,Small,3,4.0
100004,Hardware,High,,43,Enterprise,0,3.3
100005,Security,Medium,4.83,97,Medium,1,3.1
100006,Security,Low,10.4,69,Enterprise,3,3.1
100007,Database,Medium,2.86,40,Medium,1,3.7
100008,Network,High,7.08,56,Medium,2,4.0
100009,Security,Low,,97,Small,2,4.5
100010,Software,High,1.8,23,Small,0,4.9
100011,Security,Low,,83,Small,1,4.1
100012,Hardware,Low,10.0,63,Small,3,3.5
100013,Software,Low,,61,Enterprise,0,4.8
100014,Network,Medium,11.36,70,Small,3,3.7
100015,Database,High,,92,Small,3,4.3
100016,Email,Low,4.44,79,Medium,3,3.6
100017,Network,Low,6.37,55,Enterprise,0,3.4
100018,Software,Low,,38,Small,1,4.0
100019,Security,Medium,4.74,38,Enterprise,2,3.6
100020,Software,Low,,83,Enterprise,1,4.3
100021,Software,Medium,,32,Enterprise,0,3.3
100022,Software,Low,8.26,48,Small,1,4.2
100023,Software,Low,5.96,55,Enterprise,2,4.6
100024,Software,Low,,45,Medium,1,4.2
100025,Database,Low,1.88,69,Enterprise,1,3.4
100026,Hardware,Critical,2.61,51,Small,2,4.1
100027,Email,Low,5.92,84,Small,1,4.2
100028,Software,Low,2.68,42,Enterprise,3,2.9
100029,Database,High,7.2,74,Medium,3,4.4
100030,Hardware,High,,69,Enterprise,2,4.2
100031,Email,High,9.62,30,Medium,3,3.9
100032,Network,High,,84,Small,1,2.7
100033,Database,Low,7.05,44,Small,0,3.8
100034,Software,High,,82,Enterprise,0,4.6
100035,Security,Critical,2.08,65,Small,0,4.8
100036,Hardware,Medium,,89,Small,3,4.2
100037,Network,Medium,,27,Medium,1,3.2
100038,Email,Medium,,82,Small,1,3.4
100039,Software,Medium,5.83,82,Medium,3,4.1
100040,Network,Low,,73,Enterprise,0,4.8
100041,Security,Low,6.09,82,Medium,3,3.5
100042,Database,High,5.0,77,Small,3,5.0
100043,Software,Medium,10.99,60,Enterprise,1,3.5
100044,Email,Low,1.61,29,Enterprise,1,3.1
100045,Network,Low,5.8,95,Small,2,3.4
100046,Database,Low,10.51,94,Medium,2,3.4
100047,Hardware,Medium,2.13,58,Small,3,4.4
100048,Security,Medium,,44,Medium,0,2.8
100049,Software,High,8.92,98,Small,2,2.7
100050,Network,Medium,2.97,86,Medium,3,4.4
100051,Hardware,Medium,,61,Medium,0,4.4
100052,Network,High,4.66,23,Small,2,3.7
100053,Security,Low,8.46,88,Small,3,3.2
100054,Hardware,High,11.33,61,Small,0,3.5
100055,Database,Low,4.04,90,Medium,1,4.3
100056,Email,High,8.15,82,Medium,0,2.5
100057,Hardware,Medium,0.96,31,Small,2,4.2
100058,Hardware,Critical,4.43,98,Medium,0,3.6
100059,Security,High,,68,Small,3,4.8
100060,Security,Low,,83,Small,2,4.1
100061,Software,High,6.4,40,Small,1,3.5
100062,Network,Medium,11.11,98,Small,3,4.5
100063,Software,High,10.73,77,Enterprise,0,2.8
100064,Network,Low,11.2,84,Small,0,5.0
100065,Hardware,Medium,5.3,82,Medium,2,3.2
100066,Database,High,3.18,72,Small,0,2.8
100067,Security,High,1.94,57,Medium,1,4.1
100068,Security,Low,5.35,85,Enterprise,0,3.6
100069,Hardware,Low,1.36,99,Small,1,3.7
100070,Security,Medium,4.25,47,Enterprise,2,4.2
100071,Database,Low,5.31,65,Enterprise,3,4.0
100072,Database,Critical,7.22,41,Enterprise,0,3.7
100073,Hardware,High,10.11,91,Small,2,3.1
100074,Email,Medium,1.9,65,Small,3,2.7
100075,Security,Low,3.19,60,Small,2,4.4
100076,Security,Medium,10.57,76,Medium,0,2.9
100077,Hardware,Low,,70,Medium,3,3.1
100078,Email,Medium,10.1,28,Enterprise,0,3.5
100079,Hardware,Critical,1.57,55,Small,3,3.8
100080,Network,Low,3.85,33,Small,1,3.5
100081,Hardware,Medium,,93,Medium,1,2.8
100082,Hardware,Low,2.85,75,Small,3,3.2
100083,Database,High,10.9,24,Medium,3,4.0
100084,Software,Medium,7.32,40,Small,3,3.4
100085,Software,Medium,7.18,26,Medium,0,3.6
100086,Hardware,Low,6.55,37,Small,2,4.5
100087,Email,Medium,0.97,65,Medium,1,3.7
100088,Hardware,High,10.95,39,Small,1,3.9
100089,Software,Low,,47,Small,0,2.8
100090,Email,Medium,3.84,39,Medium,0,4.6
100091,Hardware,Low,3.78,20,Small,0,3.4
100092,Database,High,2.08,20,Small,2,3.8
100093,Network,Medium,,86,Small,2,4.4
100094,Hardware,Low,,56,Enterprise,3,4.5
100095,Security,Low,3.42,43,Enterprise,0,2.8
100096,Security,Critical,,93,Small,1,4.4
100097,Security,Low,,43,Enterprise,2,3.6
100098,Software,Medium,11.65,75,Enterprise,2,2.8
100099,Network,High,9.79,55,Small,0,3.7
100100,Hardware,Low,1.59,60,Small,1,3.5
100101,Security,Medium,1.06,98,Small,1,2.7
100102,Database,Medium,,46,Medium,1,3.1
100103,Hardware,Medium,5.0,67,Small,1,3.2
100104,Database,Low,,38,Enterprise,3,2.5
100105,Network,High,7.0,33,Enterprise,2,2.6
100106,Software,Critical,10.67,64,Small,1,3.5
100107,Software,Critical,,77,Small,1,3.4
100108,Network,High,,20,Small,2,4.7
100109,Security,Low,,82,Enterprise,1,3.6
100110,Hardware,High,8.0,45,Enterprise,1,3.8
100111,Database,High,10.09,52,Medium,0,4.1
100112,Network,Medium,11.65,29,Small,2,4.1
100113,Hardware,Low,10.36,39,Small,2,3.0
100114,Network,Medium,6.29,74,Enterprise,2,3.3
100115,Security,Medium,9.79,89,Enterprise,3,4.9
100116,Hardware,Medium,2.23,94,Medium,3,2.7
100117,Database,Low,0.74,54,Enterprise,2,2.7
100118,Database,Low,5.44,93,Small,0,2.5
100119,Email,Critical,8.4,85,Small,2,2.7
100120,Security,Critical,,85,Enterprise,2,2.7
100121,Email,Medium,3.17,69,Small,2,4.6
100122,Security,Low,5.82,31,Medium,3,4.8
100123,Network,Medium,10.88,35,Small,2,4.8
100124,Hardware,Medium,5.23,39,Medium,3,4.6
100125,Database,Critical,9.37,46,Enterprise,0,4.9
100126,Database,Low,3.88,31,Medium,0,4.9
100127,Hardware,Low,7.13,85,Enterprise,3,4.1
100128,Software,Low,7.93,80,Small,2,4.0
100129,Security,Low,2.87,44,Small,2,3.9
100130,Software,Medium,2.56,23,Enterprise,3,4.2
100131,Network,Medium,4.65,28,Small,3,3.1
100132,Security,Medium,,95,Medium,3,2.9
100133,Hardware,Critical,,82,Medium,1,2.7
100134,Database,Medium,10.14,31,Small,0,4.0
100135,Software,Critical,2.15,44,Enterprise,3,3.0
100136,Database,Medium,,51,Small,1,2.5
100137,Email,High,3.97,26,Small,1,3.0
100138,Database,High,7.98,87,Small,0,2.7
100139,Database,Low,8.73,76,Small,1,4.1
100140,Software,Low,4.55,68,Small,1,4.7
100141,Software,High,9.83,23,Medium,2,4.5
100142,Security,Low,8.31,85,Medium,2,4.4
100143,Email,Low,4.08,61,Small,2,2.9
100144,Security,Critical,2.05,74,Small,3,2.9
100145,Software,Medium,,34,Enterprise,1,4.3
100146,Software,Medium,10.34,54,Small,0,2.5
100147,Database,Low,2.57,24,Medium,1,4.7
100148,Software,Critical,7.38,33,Medium,2,4.5
100149,Software,Medium,10.17,67,Small,1,4.5
100150,Hardware,Medium,,23,Small,3,4.6
100151,Security,Medium,0.53,55,Medium,1,4.3
100152,Network,Low,11.78,42,Enterprise,0,2.6
100153,Security,Medium,9.06,37,Medium,1,3.3
100154,Email,Medium,3.69,67,Small,1,3.1
100155,Security,Low,0.84,33,Small,1,4.5
100156,Database,Medium,11.08,86,Small,2,3.1
100157,Hardware,Medium,8.86,42,Medium,3,4.9
100158,Hardware,High,,82,Small,1,3.5
100159,Hardware,Low,10.43,30,Small,1,3.8
100160,Email,Low,10.98,71,Enterprise,0,4.6
100161,Software,Low,11.09,32,Medium,0,4.9
100162,Software,Low,6.78,23,Enterprise,2,3.6
100163,Database,Medium,0.55,65,Small,3,3.4
100164,Email,Critical,2.06,44,Small,3,4.3
100165,Network,Medium,4.19,85,Small,1,3.1
100166,Network,Critical,8.84,48,Medium,3,3.4
100167,Hardware,Low,0.8,88,Enterprise,0,4.7
100168,Security,Critical,10.14,50,Medium,2,4.2
100169,Security,Medium,0.63,42,Small,2,2.6
100170,Hardware,Medium,,73,Medium,3,3.7
100171,Software,Medium,2.1,33,Medium,2,4.4
100172,Software,Critical,5.86,56,Small,1,4.1
100173,Email,Medium,5.21,28,Small,1,3.4
100174,Security,High,6.45,24,Medium,2,2.7
100175,Database,High,7.61,91,Small,0,4.4
100176,Network,Low,3.14,91,Small,0,3.0
100177,Software,Low,2.49,61,Small,0,3.4
100178,Software,High,10.38,78,Small,1,4.7
100179,Security,High,6.7,23,Small,1,4.2
100180,Hardware,High,1.85,29,Small,1,3.4
100181,Security,Medium,4.2,71,Small,2,3.3
100182,Database,High,10.54,94,Small,1,4.5
100183,Hardware,Medium,6.03,46,Enterprise,0,4.5
100184,Email,Low,6.55,72,Small,0,3.3
100185,Email,Medium,8.31,27,Small,0,4.9
100186,Hardware,Critical,,57,Enterprise,3,4.3
100187,Security,Medium,4.86,36,Small,2,2.6
100188,Security,Medium,10.61,91,Small,2,4.2
100189,Database,Medium,12.0,53,Medium,2,4.4
100190,Network,Medium,5.48,40,Small,3,4.2
100191,Hardware,Low,2.72,59,Small,3,3.6
100192,Security,Medium,7.18,26,Medium,1,2.8
100193,Email,Medium,4.19,81,Medium,3,3.9
100194,Database,Critical,10.56,96,Medium,1,4.9
100195,Software,Low,2.88,99,Small,1,4.4
100196,Software,Medium,8.4,51,Medium,2,4.9
100197,Security,Medium,2.98,77,Medium,3,2.8
100198,Security,High,9.58,63,Small,2,3.2
100199,Database,Low,1.98,55,Enterprise,0,3.4
100200,Security,Low,3.28,73,Medium,1,4.9
100201,Network,Low,6.82,50,Enterprise,1,2.8
100202,Database,Low,6.96,39,Medium,0,3.2
100203,Security,Medium,9.73,49,Small,0,3.6
100204,Email,Medium,11.24,46,Enterprise,3,4.8
100205,Email,Low,6.95,63,Small,0,4.4
100206,Security,Low,9.31,71,Medium,0,3.6
100207,Security,Low,1.8,75,Small,2,2.6
100208,Network,Low,9.38,52,Enterprise,3,4.1
100209,Software,Medium,6.38,70,Enterprise,3,3.3
100210,Security,Low,8.53,53,Small,1,3.5
100211,Hardware,High,6.38,20,Medium,0,2.7
100212,Database,Medium,,80,Small,2,4.5
100213,Email,Medium,,35,Small,0,3.3
100214,Network,Medium,6.67,63,Small,2,2.9
100215,Software,Medium,10.95,46,Small,2,3.0
100216,Security,High,10.04,31,Medium,3,3.4
100217,Email,Medium,5.47,20,Enterprise,1,4.0
100218,Security,Medium,,81,Enterprise,0,3.1
100219,Network,High,3.77,20,Medium,0,4.4
100220,Network,Medium,11.56,45,Small,3,5.0
100221,Security,Low,2.68,57,Enterprise,3,3.8
100222,Hardware,High,,61,Small,2,3.1
100223,Email,High,,92,Small,0,3.0
100224,Database,Medium,5.53,94,Medium,3,3.2
100225,Database,High,4.55,34,Enterprise,1,2.5
100226,Network,High,11.92,86,Small,3,4.1
100227,Software,High,4.82,85,Medium,3,4.1
100228,Security,Medium,11.84,60,Small,1,3.1
100229,Security,Medium,1.65,45,Small,1,3.1
100230,Database,Medium,2.98,33,Enterprise,0,4.3
